2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-07/22:55:51		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-07/22:55:53		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-07/22:55:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-07/22:55:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-07/22:56:00		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-07/22:56:01		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-07/22:56:04		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-07/22:56:07		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-07/22:56:08		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-07/23:06:21		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-07/23:06:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-07/23:06:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-07/23:06:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-07/23:06:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-07/23:06:30		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-07/23:06:33		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-07/23:06:35		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-07/23:06:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-07/23:12:55		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-07/23:12:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-07/23:12:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-07/23:12:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-07/23:12:57		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-07/23:12:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-07/23:12:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-07/23:12:59		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-07/23:13:00		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-07/23:15:21		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-07/23:15:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-07/23:15:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-07/23:15:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-07/23:15:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-07/23:15:31		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-07/23:15:33		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-07/23:15:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-07/23:15:37		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-07/23:41:41		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-07/23:41:43		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-07/23:41:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-07/23:41:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-07/23:41:49		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-07/23:41:51		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-07/23:41:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-07/23:41:55		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-07/23:41:57		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-07/23:58:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-07/23:58:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-07/23:58:30		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-07/23:58:31		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-07/23:58:31		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-07/23:58:32		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-07/23:58:33		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-07/23:58:33		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-07/23:58:34		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-08/17:14:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-08/17:14:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-08/17:14:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-08/17:14:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-08/17:14:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-08/17:14:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-08/17:14:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-08/17:14:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-08/17:14:26		 wafer_29012020_050617.csv: File Transformed successfully!!
